"Seed","CC_Size","TA_CC","TA_HC","TA_HC_Prop","TA_HC_IPF","TA_HC_Both"
4,600,-14.5616666666667,-14.3379,-14.3859966807133,-14.4288,-14.103129344288
4,500,-14.7266,-14.3686,-14.5962826751531,-14.6599,-14.3914427932047
4,400,-14.71025,-14.3649,-14.4335956208996,-14.8659,-14.4784740615982
4,300,-14.6623333333333,-14.2956,-14.3586967603119,-14.7929,-14.5645880366714
4,200,-14.961,-14.3236,-14.387449117463,-14.9275,-14.8101756620603
4,100,-15.07,-14.2643,-14.1307938540504,-14.5407,-14.2898422967845
5,900,-15.1281111111111,-15.0525,-15.0436040869665,-15.8796,-15.5605449692984
5,800,-15.073375,-14.9442,-14.9191039037185,-16.1154,-15.4894050976816
5,700,-14.9942857142857,-14.771,-14.8564683653624,-16.1179,-15.609841018999
5,600,-14.9313333333333,-14.6133,-14.7684422669001,-16.2597,-15.7690002877205
5,500,-14.9674,-14.5402,-14.6329705416847,-15.9607,-15.5158962821754
5,400,-14.8535,-14.364,-14.5344493019003,-15.8309,-15.6369120138053
5,300,-14.781,-14.3259,-14.4488226962353,-15.9746,-15.3011101918758
5,200,-14.7285,-14.2264,-14.3238897104009,-15.809,-15.0318503696583
5,100,-14.422,-14.1109,-14.1954792745865,-15.3861,-15.1917312359514
6,900,-14.0638888888889,-14.1495,-14.1816241164692,-14.905,-15.0161247778959
6,800,-14.025125,-14.1658,-14.2680675215828,-15.1034,-15.08521196139
6,700,-14.0772857142857,-14.2551,-14.3793760927127,-15.1325,-14.951121222292
6,600,-14.0291666666667,-14.2358,-14.4722632561464,-15.0031,-14.9599128774108
6,500,-13.9596,-14.2625,-14.648002600607,-14.7185,-15.1619698396444
6,400,-13.931,-14.3511,-14.7293160526307,-14.9168,-15.2347651147381
6,300,-14.0623333333333,-14.5348,-15.1534855430716,-15.2956,-15.4863906365832
6,200,-14.085,-14.5798,-15.3799004546004,-15.2501,-15.7728681926052
