"Seed","CC_Size","TA_CC","TA_HC","TA_HC_Prop","TA_HC_IPF","TA_HC_Both"
5,0,NA,-0.481740415999079,-0.364038285128267,-0.5493929539108,-0.461868519660293
6,1000,-0.292892558924802,-0.292892558924802,-0.292892558924802,-0.357854391319273,-0.357854391319273
6,750,-0.337262540247522,-0.407939731158418,-0.405054336320702,-0.440359873972609,-0.404803431864045
6,500,-0.477141372237498,-0.533164556579242,-0.576323283010405,-0.52912446433307,-0.528431162119247
6,250,-0.562268102026402,-0.565580304340455,-0.621564658004376,-0.61451751889318,-0.482891762052432
6,0,NA,-0.573451893961634,-0.608315976603842,-0.554887597379669,-0.487301942486724
7,1000,-0.570786674310363,-0.570786674310363,-0.570786674310363,-0.576308441907295,-0.576308441907295
7,750,-0.601651973910439,-0.547220161573067,-0.567112326859475,-0.564264850336488,-0.597118567344654
7,500,-0.673604766120686,-0.517142474778789,-0.559384640152113,-0.536096136578232,-0.530738431870801
7,250,-0.80519110846555,-0.491826883447087,-0.537477819154861,-0.562081669920488,-0.429724200239718
7,0,NA,-0.36336606720279,-0.498912506451588,-0.52334732565428,-0.392856830910474
8,1000,-0.294699582192186,-0.294699582192186,-0.294699582192186,-0.273233220947086,-0.273233220947086
8,750,-0.448678523869566,-0.372809174805096,-0.409132337297837,-0.412018607801066,-0.444670844556215
8,500,-0.385728078645936,-0.264725000291531,-0.298599920900709,-0.352800359476179,-0.306720335402233
8,250,-0.194740374542268,-0.163307185797739,-0.243551442362506,-0.362455555392139,-0.294894836962609
8,0,NA,-0.16062475546549,-0.161164263262251,-0.385372272459011,-0.350294173043758
9,1000,-0.228343069296927,-0.228343069296927,-0.228343069296927,-0.0634021901012341,-0.0634021901012341
9,750,-0.270379670760018,-0.240801494262593,-0.252348963034435,-0.126334658739841,-0.17544318523903
9,500,-0.227407380852549,-0.186373855740629,-0.173698912996669,-0.223674149402762,-0.165798745906203
9,250,-0.210438489805161,-0.166834766576091,-0.190944575689,-0.261090452101339,-0.22612160797627
9,0,NA,-0.144781944211222,-0.135809203881584,-0.305077676853907,-0.274396660722445
10,1000,-0.125909483453213,-0.125909483453213,-0.125909483453213,-0.0719370572234017,-0.0719370572234017
10,750,-0.0409050311036203,-0.0358830566319925,-0.0382334308933545,0.00713222494991581,-0.0134444747564776
10,500,-0.0561357789930306,-0.0567394788011274,-0.0209388998443642,-0.0160469194776987,-0.00928613567281714
10,250,-0.0441356287192386,-0.0545191428585572,-0.0601772845333274,-0.163541471904105,-0.156597168616533
10,0,NA,-0.0518137388101167,0.122036728768782,-0.210281657881137,0.178053718390304
11,1000,-0.378622884687277,-0.378622884687277,-0.378622884687277,-0.234109154641085,-0.234109154641085
11,750,-0.316538125113183,-0.298414861555238,-0.335694181809471,-0.201471103033902,-0.240624136912336
11,500,-0.35039370094648,-0.2951104407013,-0.352744059633176,-0.189182160500325,-0.26952993225335
11,250,-0.390378425648632,-0.27892141175736,-0.354167004640028,-0.211604089869135,-0.261776095170716
11,0,NA,-0.242563905021848,-0.20505368929641,-0.265381416377258,-0.332566835014426
12,1000,-0.34679488602513,-0.34679488602513,-0.34679488602513,-0.494494864495682,-0.494494864495682
12,750,-0.480516538135685,-0.427212611654553,-0.432668354196029,-0.525575684007744,-0.540764619883055
12,500,-0.395965250384609,-0.334908953050749,-0.258641791675983,-0.490524902100442,-0.430681438551931
12,250,-0.359198262831516,-0.281246553973764,-0.204630285626821,-0.423033605967024,-0.343547751692019
12,0,NA,-0.24784766403548,0.0129694528617699,-0.412088073103566,-0.0580534950735031
13,1000,-0.52110006857477,-0.52110006857477,-0.52110006857477,-0.585925558958845,-0.585925558958845
13,750,-0.476825271481816,-0.48041559861154,-0.440460777860016,-0.49705657682552,-0.399526249949372
13,500,-0.537907607607396,-0.499613104301455,-0.506634254599983,-0.558878754537568,-0.643471949997187
13,250,-0.576903854977766,-0.496731368181694,-0.445662192210263,-0.624613424718862,-0.62128677046966
13,0,NA,-0.453491521320677,-0.39273650163118,-0.55140288005639,-0.312906698330576
14,1000,-0.0566396146723785,-0.0566396146723785,-0.0566396146723785,0.177714428970194,0.177714428970194
14,750,-0.0857489343005298,-0.147378569678666,-0.142165645662798,-0.0540859649742403,-0.0333982558223441
14,500,-0.223171032020732,-0.256673266059618,-0.286203147685958,-0.201013583529146,-0.199516340794798
14,250,-0.212225213029151,-0.262545666375527,-0.261794480564248,-0.237927862349035,-0.193989443555315
14,0,NA,-0.299128968806591,-0.369647511143075,-0.284413856498879,-0.38166658670783
15,1000,-0.101732794911034,-0.101732794911034,-0.101732794911034,-0.034242371978866,-0.034242371978866
15,750,-0.106457203191822,-0.128672796089722,-0.137025153527244,-0.0395150630849326,-0.0131700382405462
15,500,-0.311420136109497,-0.245825766501462,-0.285048863936001,-0.161347899705232,-0.172793772415549
15,250,-0.34145094851064,-0.223380503916563,-0.243482684357972,-0.249956133202658,-0.127867649404391
15,0,NA,-0.18360607037672,-0.283447725737036,-0.316529884631512,-0.358317604569262
